month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
1982-01,36.5,10,107.1
1982-02,9.4,5,27.8
1982-03,61.7,11,160.8
1982-04,45.1,14,157.0
1982-05,33.0,10,102.2
1982-06,20.6,8,59.5
1982-07,17.2,8,76.3
1982-08,57.7,11,169.5
1982-09,18.0,9,54.1
1982-10,10.0,10,39.3
1982-11,39.6,13,134.0
1982-12,109.0,21,494.1
1983-01,43.2,18,246.0
1983-02,5.1,2,5.6
1983-03,18.3,2,18.6
1983-04,21.3,4,33.6
1983-05,32.3,11,160.8
1983-06,27.7,11,94.0
1983-07,55.5,18,190.0
1983-08,181.8,10,262.2
1983-09,50.3,18,170.8
1983-10,40.0,17,212.7
1983-11,54.8,18,228.8
1983-12,164.4,16,370.6
1984-01,62.3,18,251.2
1984-02,154.4,19,470.4
1984-03,119.4,19,361.3
1984-04,38.7,17,153.1
1984-05,46.0,12,186.5
1984-06,121.1,14,255.0
1984-07,49.2,12,127.2
1984-08,22.5,13,102.7
1984-09,46.5,17,186.7
1984-10,47.2,11,187.5
1984-11,35.4,17,127.7
1984-12,58.4,22,277.4
1985-01,35.5,7,111.1
1985-02,18.7,11,79.3
1985-03,23.8,13,88.0
1985-04,29.3,14,110.5
1985-05,36.2,12,70.1
1985-06,9.9,14,37.0
1985-07,32.2,17,131.8
1985-08,21.4,11,56.9
1985-09,22.0,18,110.7
1985-10,30.2,21,169.0
1985-11,38.2,21,179.4
1985-12,86.8,22,340.1
1986-01,95.6,13,308.2
1986-02,23.0,2,26.7
1986-03,71.1,17,353.4
1986-04,56.4,14,150.0
1986-05,51.3,13,145.1
1986-06,34.5,13,122.9
1986-07,23.5,12,109.7
1986-08,28.4,11,72.9
1986-09,97.6,22,396.0
1986-10,65.6,20,227.3
1986-11,40.5,21,256.7
1986-12,131.7,16,367.2
1987-01,127.4,16,568.6
1987-02,34.8,7,86.9
1987-03,40.9,12,132.5
1987-04,27.7,10,72.5
1987-05,81.4,16,270.0
1987-06,30.7,15,126.6
1987-07,21.6,11,80.9
1987-08,48.2,16,191.9
1987-09,44.5,11,129.9
1987-10,5.9,9,22.6
1987-11,77.7,17,347.6
1987-12,24.3,11,72.8
1988-01,69.0,15,237.5
1988-02,46.7,9,158.1
1988-03,70.1,15,186.8
1988-04,22.8,13,109.6
1988-05,76.7,14,229.6
1988-06,69.4,13,252.2
1988-07,75.6,15,305.4
1988-08,19.0,14,80.1
1988-09,187.3,14,440.4
1988-10,39.8,17,134.6
1988-11,111.9,23,401.4
1988-12,22.0,11,62.9
1989-01,53.0,10,189.7
1989-02,48.4,3,52.4
1989-03,63.5,21,305.9
1989-04,39.0,17,198.6
1989-05,38.2,12,194.0
1989-06,45.9,12,117.6
1989-07,33.3,12,157.6
1989-08,81.4,18,201.0
1989-09,102.2,14,247.3
1989-10,24.9,16,111.0
1989-11,148.6,20,508.4
1989-12,44.2,18,179.7
1990-01,73.9,13,147.4
1990-02,6.6,8,24.1
1990-03,48.6,4,94.2
1990-04,12.0,10,52.4
1990-05,153.7,11,180.1
1990-06,76.1,9,112.6
1990-07,44.5,12,124.0
1990-08,38.3,13,146.6
1990-09,44.5,17,204.5
1990-10,20.2,12,56.4
1990-11,46.9,17,180.4
1990-12,33.5,16,201.1
1991-01,36.2,13,123.9
1991-02,17.9,7,45.5
1991-03,48.6,10,92.4
1991-04,32.2,13,134.2
1991-05,44.0,23,256.4
1991-06,55.6,9,88.7
1991-07,10.7,8,37.3
1991-08,129.9,8,226.2
1991-09,53.6,12,123.1
1991-10,20.4,5,52.0
1991-11,75.2,19,205.0
1991-12,79.4,19,492.3
1992-01,56.2,9,83.9
1992-02,43.2,4,62.4
1992-03,35.1,6,67.6
1992-04,94.7,13,160.3
1992-05,13.7,13,63.1
1992-06,38.4,14,162.8
1992-07,97.3,19,290.8
1992-08,31.0,11,76.1
1992-09,17.5,13,83.6
1992-10,45.5,20,233.2
1992-11,120.6,18,474.3
1992-12,105.7,23,502.7
1993-01,37.2,11,176.4
1993-02,27.0,8,69.2
1993-03,56.9,14,250.5
1993-04,56.7,20,283.9
1993-05,37.2,10,129.9
1993-06,29.4,17,115.5
1993-07,46.4,15,240.0
1993-08,53.5,11,106.8
1993-09,42.0,7,61.7
1993-10,62.7,13,175.5
1993-11,61.3,18,250.8
1993-12,67.6,19,308.5
1994-01,17.5,7,56.9
1994-02,26.3,15,133.5
1994-03,64.2,19,288.2
1994-04,46.3,15,154.0
1994-05,45.1,16,169.6
1994-06,61.1,14,184.7
1994-07,17.0,6,53.8
1994-08,15.5,12,45.1
1994-09,11.3,6,23.7
1994-10,35.4,11,84.7
1994-11,178.3,21,322.2
1994-12,133.8,18,425.4
1995-01,108.3,21,349.4
1995-02,159.3,16,334.0
1995-03,31.1,10,67.7
1995-04,73.6,16,242.3
1995-05,32.8,11,84.4
1995-06,45.0,12,63.7
1995-07,52.3,13,173.6
1995-08,37.9,21,211.6
1995-09,5.7,7,29.5
1995-10,37.1,12,101.1
1995-11,198.6,20,372.8
1995-12,55.6,20,302.5
1996-01,39.0,10,173.2
1996-02,53.0,11,180.2
1996-03,61.8,8,129.7
1996-04,55.7,15,178.2
1996-05,18.6,15,107.5
1996-06,94.3,15,265.8
1996-07,55.3,10,162.3
1996-08,64.6,18,258.4
1996-09,66.5,18,297.0
1996-10,45.8,19,300.0
1996-11,60.5,16,180.2
1996-12,72.4,15,185.5
1997-01,13.9,3,15.4
1997-02,35.7,8,105.4
1997-03,17.4,10,34.3
1997-04,44.6,12,118.4
1997-05,35.6,6,41.6
1997-06,25.0,12,78.9
1997-07,5.4,9,18.6
1997-08,61.4,9,86.6
1997-09,24.3,3,31.1
1997-10,36.5,8,78.4
1997-11,53.6,13,158.3
1997-12,65.8,23,351.9
1998-01,79.7,13,268.8
1998-02,11.9,5,32.5
1998-03,20.9,7,58.8
1998-04,64.9,13,187.7
1998-05,83.7,18,370.8
1998-06,42.8,15,198.8
1998-07,55.8,18,259.2
1998-08,35.5,18,195.0
1998-09,52.0,17,258.2
1998-10,32.4,20,222.7
1998-11,57.5,11,107.2
1998-12,84.4,22,463.4
1999-01,52.5,19,193.9
1999-02,32.1,9,67.4
1999-03,52.4,16,181.4
